ridership_id,trip_id,station_id,boardings,alightings
1,2381,200,40,20
2,4799,35,45,4
3,4590,86,47,28
4,5182,86,40,3
5,2301,118,13,31
6,3462,36,25,43
7,4780,98,56,53
8,4610,160,56,31
9,4672,22,45,30
10,5175,40,51,55
11,167,12,35,45
12,191,202,1,6
13,1458,130,52,26
14,4884,15,25,11
15,2637,126,20,37
16,2076,150,49,48
17,4629,180,25,28
18,5713,201,-9,51
19,65,1,45,16
20,2893,132,44,30
21,2236,41,42,11
22,5517,165,18,56
23,5672,151,25,27
24,5401,33,39,19
25,1626,219,2,60
26,942,117,7,37
27,2719,17,11,41
28,2098,53,48,60
29,1901,111,29,23
30,5570,124,31,28
31,5917,202,52,8
32,2743,137,54,30
33,1695,171,4,0
34,5301,152,28,38
35,9,121,58,30
36,5618,161,11,55
37,3383,22,60,42
38,4886,10,30,53
39,3231,101,56,45
40,4950,196,31,53
41,3888,39,50,54
42,739,118,7,48
43,2375,197,14,23
44,4100,169,51,15
45,5066,13,13,9
46,1616,100,59,54
47,3046,184,9,56
48,4359,115,46,47
49,4011,53,-9,46
50,767,192,3,42
51,4282,177,14,41
52,3779,216,24,17
53,3402,192,43,60
54,5570,97,5,16
55,5235,202,38,13
56,5491,61,6,49
57,1443,113,21,25
58,2095,58,37,55
59,4777,82,4,40
60,2760,101,56,25
61,136,16,41,25
62,1189,183,59,7
63,441,92,43,4
64,463,115,32,29
65,5836,217,41,3
66,4108,28,5,13
67,2982,196,55,57
68,5635,187,30,47
69,5496,162,15,38
70,1312,124,59,40
71,4880,82,37,47
72,3610,118,30,44
73,2954,77,33,37
74,303,122,5,11
75,4958,99,38,48
76,788,84,18,45
77,3918,3,3,42
78,2026,56,49,44
79,1738,33,25,32
80,3859,209,-2,26
81,2046,112,48,34
82,2353,20,23,31
83,5679,35,47,38
84,4312,69,11,44
85,3068,17,46,37
86,3389,193,5,30
87,2987,87,35,38
88,1804,178,23,23
89,5660,140,20,35
90,212,112,12,0
91,1240,197,9,35
92,5845,46,38,59
93,1930,92,60,9
94,3595,135,39,31
95,5950,50,22,51
96,5316,105,19,31
97,3364,135,42,19
98,4087,69,26,17
99,2630,9,29,43
100,4260,63,-2,48
101,4511,91,,43
102,4476,13,59,34
103,3303,190,19,52
104,2873,193,1,47
105,4448,29,41,0
106,87,28,0,35
107,4556,175,52,26
108,4030,206,16,16
109,651,151,13,28
110,5980,141,27,24
111,3147,202,40,18
112,2708,63,59,14
113,3639,114,17,47
114,1875,51,60,30
115,1212,40,50,55
116,3526,44,32,7
117,609,89,0,11
118,2378,53,35,56
119,2007,74,20,3
120,1349,30,-1,18
121,2069,122,8,48
122,5115,123,55,58
123,3499,42,38,4
124,4813,125,28,15
125,3357,97,1,36
126,2598,149,7,38
127,3597,193,19,31
128,1900,100,27,23
129,3615,166,33,33
130,3690,207,19,32
131,5596,175,22,57
132,2968,116,7,15
133,5176,157,34,16
134,2163,203,46,38
135,529,112,15,54
136,1484,87,30,16
137,3960,72,15,28
138,651,37,14,32
139,3729,114,23,24
140,596,202,54,58
141,4492,194,36,53
142,2721,96,31,37
143,4407,218,14,8
144,4872,11,40,530
145,2652,151,0,20
146,929,113,14,24
147,2985,73,2,20
148,551,147,14,17
149,1515,75,26,8
150,3845,27,8,12
151,2024,15,49,48
152,1940,52,23,56
153,5847,95,39,60
154,4795,172,34,1
155,1282,129,11,46
156,4870,104,58,0
157,4589,126,48,40
158,3856,130,41,55
159,5748,202,30,12
160,3481,64,3,37
161,3733,57,37,41
162,5938,64,55,27
163,3375,7,36,31
164,4085,129,51,20
165,92,203,,48
166,5265,75,17,23
167,3635,181,8,38
168,4996,187,49,541
169,142,114,39,14
170,5651,38,25,22
171,4234,41,22,18
172,129,86,39,19
173,2878,109,31,7
174,3622,82,13,37
175,5940,202,28,10
176,5223,81,35,5
177,4836,202,54,54
178,5494,9,32,42
179,59,127,21,45
180,1643,177,-4,51
181,3211,87,39,40
182,3584,134,13,55
183,3039,9,49,29
184,197,90,5,51
185,373,105,38,26
186,532,200,8,34
187,3180,141,15,35
188,231,212,59,11
189,4266,86,14,28
190,4561,198,9,7
191,5940,147,10,19
192,3876,27,-7,15
193,5641,50,36,2
194,4336,96,33,786
195,2137,175,58,32
196,3483,200,59,48
197,1013,109,28,10
198,3234,109,21,42
199,3270,122,30,23
200,2867,145,22,28
201,4704,193,50,20
202,25,82,60,47
203,5482,114,30,57
204,2899,4,18,2
205,5640,212,51,47
206,5037,189,32,35
207,5147,139,58,20
208,4331,115,9,13
209,4128,75,48,23
210,5156,39,2,647
211,936,5,50,18
212,486,203,29,47
213,2482,149,15,7
214,113,134,42,7
215,5575,211,7,5
216,3005,162,24,27
217,5308,73,1,45
218,5436,168,,2
219,2555,86,35,828
220,4537,151,8,8
221,190,104,55,57
222,5586,10,59,41
223,4973,203,19,39
224,3581,167,22,47
225,5321,212,,60
226,5553,58,50,41
227,4608,56,25,18
228,1350,78,23,20
229,797,125,2,33
230,1931,90,4,50
231,2432,165,42,11
232,5300,163,55,50
233,5818,105,25,44
234,4977,10,49,2
235,2129,92,13,37
236,5817,141,1,17
237,5934,141,55,48
238,3418,127,40,10
239,856,78,0,43
240,897,190,28,3
241,4113,115,13,4
242,114,152,32,7
243,3329,137,58,35
244,146,59,54,40
245,3111,155,6,43
246,786,94,3,6
247,2667,67,59,26
248,1258,95,28,14
249,2861,57,26,6
250,3297,152,32,28
251,1326,202,48,60
252,2906,128,50,47
253,2532,126,17,530
254,5169,145,41,32
255,3698,31,29,57
256,1807,23,48,21
257,771,109,2,57
258,3135,212,5,16
259,2069,115,5,57
260,303,218,16,16
261,3031,48,27,16
262,2827,175,42,32
263,1176,154,57,50
264,4883,74,46,23
265,5406,173,53,36
266,939,214,14,59
267,3793,143,2,16
268,3974,213,27,596
269,4486,207,12,28
270,3213,84,47,10
271,1423,210,30,42
272,5776,206,31,18
273,992,80,27,16
274,2214,1,50,10
275,1016,49,22,12
276,2667,91,21,24
277,1618,37,52,60
278,1249,213,5,13
279,1007,177,23,22
280,73,148,42,22
281,1086,161,23,49
282,3943,87,0,23
283,4434,129,40,3
284,2244,166,56,33
285,5711,4,28,10
286,1240,101,12,13
287,5672,170,11,42
288,4004,136,59,6
289,2034,39,26,30
290,2028,63,9,56
291,3677,115,58,46
292,2388,112,56,39
293,4151,204,32,55
294,5199,217,18,48
295,3657,164,45,29
296,4781,176,9,36
297,4974,157,12,50
298,3417,126,22,40
299,1287,213,46,48
300,3350,130,16,45
301,38,176,21,14
302,3463,113,41,32
303,1530,9,12,4
304,5843,183,49,13
305,3963,116,38,0
306,2478,11,58,13
307,4375,57,12,12
308,2613,204,42,60
309,786,132,1,6
310,2291,139,52,0
311,3469,35,34,3
312,4891,57,32,33
313,5035,165,55,23
314,590,29,22,17
315,5474,62,36,30
316,773,93,31,15
317,710,82,37,51
318,5520,97,-7,27
319,1503,61,45,24
320,2374,102,2,60
321,5350,45,51,9
322,4051,142,40,38
323,2760,27,40,50
324,5705,38,55,57
325,5253,26,60,50
326,2764,12,26,8
327,4337,75,2,4
328,3933,217,39,56
329,5338,5,25,8
330,4289,17,2,36
331,3913,165,22,11
332,3463,136,25,26
333,407,137,13,26
334,3206,143,59,51
335,1344,30,18,2
336,1852,121,12,3
337,3715,22,59,17
338,4740,5,-3,39
339,215,14,21,54
340,5448,101,11,25
341,3952,2,40,11
342,2331,127,18,32
343,5352,115,39,33
344,4339,158,10,4
345,3784,59,34,7
346,1427,40,38,50
347,1417,35,36,29
348,1431,198,20,651
349,4856,172,54,43
350,5603,217,57,18
351,3014,75,15,41
352,4400,103,50,19
353,2198,117,,3
354,5155,213,53,36
355,2209,193,27,13
356,4905,214,33,15
357,2871,93,40,41
358,140,72,53,58
359,1999,139,31,879
360,4095,192,29,2
361,445,188,12,7
362,1187,25,40,56
363,1860,197,23,37
364,20,73,12,13
365,3071,173,26,37
366,151,30,3,5
367,254,24,56,39
368,1711,84,11,0
369,3562,43,11,51
370,447,176,36,13
371,3177,191,17,8
372,3266,215,59,14
373,3106,25,18,3
374,1280,49,6,0
375,703,177,28,7
376,4769,76,20,29
377,2049,12,21,48
378,5455,164,36,537
379,4899,182,0,0
380,2726,106,49,28
381,1907,164,22,10
382,1851,94,38,23
383,3541,62,23,11
384,1965,167,60,1
385,1522,207,59,33
386,3084,123,6,3
387,2675,191,27,1
388,4761,43,12,23
389,3607,114,18,5
390,4752,12,23,30
391,2762,50,9,8
392,5590,160,59,39
393,4041,178,50,43
394,1338,101,7,20
395,4282,160,45,58
396,4294,153,51,45
397,5970,142,55,15
398,868,82,55,7
399,2115,42,46,16
400,2399,180,51,32
401,2985,79,26,28
402,5512,53,28,4
403,3850,216,56,45
404,4698,1,43,26
405,2632,80,57,60
406,439,139,22,30
407,41,50,16,0
408,5321,204,5,59
409,732,119,1,24
410,5327,10,7,6
411,3703,55,34,14
412,5445,134,40,53
413,3728,42,1,60
414,2605,121,37,24
415,3457,67,0,1
416,523,171,49,54
417,2599,75,54,8
418,5922,15,45,57
419,4530,210,9,54
420,1008,108,55,17
421,5641,45,19,42
422,572,215,7,16
423,3876,82,56,18
424,3576,37,17,58
425,1195,33,14,60
426,5278,109,57,56
427,601,204,5,27
428,2144,103,3,14
429,4896,208,22,6
430,2769,158,9,15
431,5648,109,25,20
432,4058,74,27,16
433,1914,26,60,27
434,2215,149,-1,20
435,2651,166,52,18
436,5661,55,30,59
437,1834,165,43,18
438,1984,162,6,48
439,4067,140,38,54
440,5235,124,34,27
441,5608,192,20,28
442,439,29,35,51
443,1864,4,17,6
444,2644,163,54,17
445,4002,79,53,31
446,2192,180,14,23
447,5350,220,38,30
448,4940,123,2,6
449,4113,198,23,9
450,2973,215,15,4
451,5754,124,51,55
452,2082,2,50,36
453,152,22,58,47
454,2683,160,25,35
455,3668,69,41,1
456,2937,44,36,1
457,5384,91,2,38
458,4674,40,32,4
459,3662,187,9,24
460,407,102,60,13
461,4968,156,40,57
462,631,110,60,40
463,4890,89,55,853
464,5907,186,59,57
465,3124,46,47,31
466,5009,7,32,34
467,5376,14,25,32
468,730,196,7,9
469,965,118,59,37
470,1144,142,9,49
471,1313,54,15,5
472,3197,125,31,8
473,5654,182,53,13
474,2819,194,57,27
475,1433,177,29,44
476,2140,24,12,17
477,4070,168,45,31
478,1652,81,41,31
479,4015,66,11,58
480,5540,80,-5,9
481,1517,9,28,38
482,3942,67,7,23
483,3731,17,39,45
484,1176,88,3,55
485,4642,35,42,54
486,1854,165,-10,58
487,2984,92,44,54
488,4485,126,31,38
489,5785,156,14,25
490,1493,126,13,29
491,3718,39,14,33
492,816,109,43,50
493,1046,150,9,5
494,850,27,42,56
495,1961,168,13,3
496,3895,85,12,23
497,5542,12,11,55
498,4725,72,33,53
499,2363,183,46,56
500,1730,36,52,46
501,1869,220,10,747
502,2043,135,48,20
503,3888,16,60,49
504,5895,148,19,13
505,859,64,30,0
506,2894,144,56,28
507,1681,123,39,10
508,915,109,52,60
509,1523,36,,41
510,54,159,51,38
511,554,96,6,39
512,3680,216,34,19
513,4904,140,35,50
514,2019,139,0,12
515,2280,167,28,56
516,1895,140,7,6
517,1712,115,3,42
518,2184,102,10,19
519,2566,79,1,28
520,125,4,20,58
521,2917,83,41,60
522,1067,219,13,58
523,5928,26,42,7
524,225,171,35,51
525,5341,191,14,33
526,475,207,59,8
527,4383,72,31,30
528,4533,196,10,21
529,2901,57,29,4
530,3492,198,18,6
531,1924,56,47,2
532,133,98,26,26
533,4043,16,41,56
534,3290,55,48,57
535,819,147,50,4
536,5710,24,6,37
537,1805,7,38,15
538,5951,30,53,12
539,468,59,31,31
540,3822,3,49,60
541,4688,162,41,549
542,4412,149,,56
543,120,74,58,23
544,370,123,9,51
545,1496,213,17,28
546,2446,33,19,27
547,3918,63,9,23
548,2632,16,49,27
549,1102,148,42,866
550,1793,99,51,58
551,5115,163,7,730
552,1302,192,46,2
553,3906,141,52,42
554,186,217,14,20
555,5749,83,0,58
556,809,146,38,48
557,3395,139,55,51
558,2155,72,20,27
559,5768,115,47,44
560,651,212,46,28
561,1520,9,,16
562,5209,93,57,5
563,3031,177,42,20
564,2299,3,36,50
565,959,187,25,41
566,2589,154,47,38
567,291,7,4,14
568,5142,21,19,877
569,5154,138,3,24
570,157,147,4,53
571,2227,111,22,19
572,46,13,0,2
573,307,6,18,45
574,2940,65,39,29
575,1729,76,46,34
576,2876,44,-9,26
577,4760,155,9,55
578,3482,35,20,28
579,682,50,33,2
580,4936,85,47,5
581,4155,29,10,42
582,3147,91,11,43
583,491,143,43,7
584,2703,155,1,19
585,2771,6,28,55
586,579,199,31,16
587,3546,176,17,30
588,3967,220,49,46
589,1546,210,49,53
590,5127,11,44,57
591,1281,180,15,7
592,3294,121,3,10
593,3079,26,26,32
594,2397,72,24,37
595,2994,195,60,41
596,1475,65,43,19
597,5442,139,14,11
598,552,23,54,51
599,3637,162,8,17
600,5594,175,17,49
601,5836,153,52,45
602,4738,118,47,45
603,4708,24,45,54
604,2453,136,58,58
605,2505,6,56,0
606,2536,99,21,54
607,4460,66,57,25
608,4752,40,41,47
609,4122,127,35,1
610,3905,193,15,30
611,5232,173,51,30
612,2087,219,36,30
613,3710,136,2,20
614,1213,90,7,36
615,4408,117,7,27
616,4410,147,28,19
617,3750,111,27,44
618,470,178,39,5
619,4927,49,57,23
620,2074,33,21,36
621,5008,54,7,28
622,4747,128,54,59
623,4350,204,22,26
624,3666,82,36,691
625,5347,112,46,50
626,5444,152,41,42
627,3406,125,2,42
628,2274,201,28,30
629,910,70,2,22
630,3835,15,8,23
631,150,179,5,23
632,2311,66,39,817
633,5669,160,56,34
634,2653,34,23,24
635,1774,126,16,60
636,4503,69,22,21
637,5813,172,41,30
638,5515,105,13,15
639,5652,70,11,0
