route_id,route_name,transit_type,region
1,Light Rail 1 - North Judithbury Line,LIGHT RAIL,East
2,Bus 2 - East Jill Line,Bus,North
3,Light Rail 3 - New Roberttown Line,Light Rail,Downtown
4,Bus 4 - East Jessetown Line,Bus,North
5,Bus 5 - Lake Debra Line,bus,Downtown
6,Light Rail 6 - Robinsonshire Line,light rail,Uptown
7,Light Rail 7 - Lisatown Line,Light Rail,West
8,Bus 8 - Lake Roberto Line,Bus,East
9,Bus 9 - Ericmouth Line,Bus,South
10,Light Rail 10 - North Noahstad Line,Light Rail,East
11,Bus 11 - Cassandraton Line,BUS,North
12,Bus 12 - Herrerafurt Line,BUS,
13,Subway 13 - New Kellystad Line,Subway,
14,Bus 14 - Lake Chad Line,Bus,Downtown
15,Bus 15 - Port Keith Line,Bus,West
16,Bus 16 - Port Jesseville Line,Bus,
17,Light Rail 17 - Ramirezstad Line,Light Rail,
18,Subway 18 - West Michael Line,Subway,Uptown
19,Bus 19 - Jacquelineland Line,bus,
20,Subway 20 - New Jessica Line,Subway,
21,Bus 21 - South Noah Line,Bus,West
22,Subway 22 - Lake Mark Line,Subway,
23,Subway 23 - East Lydiamouth Line,SUBWAY,South
24,Light Rail 24 - Adamsborough Line,LIGHT RAIL,Uptown
25,Bus 25 - Jasonfort Line,Bus,South
26,Light Rail 26 - Wilkersonmouth Line,Light Rail,South
27,Subway 27 - West Donald Line,Subway,Uptown
28,Light Rail 28 - Juliechester Line,Light Rail,
29,Bus 29 - Coxberg Line,bus,
30,Subway 30 - Daviston Line,Subway,North
31,Bus 31 - East Courtneychester Line,Bus,Downtown
32,Light Rail 32 - South Patrickmouth Line,LIGHT RAIL,West
33,Subway 33 - Tashatown Line,Subway,Uptown
34,Subway 34 - Lake Nicoleview Line,subway,South
35,Light Rail 35 - Danielchester Line,Light Rail,East
36,Light Rail 36 - South Aaron Line,Light Rail,Downtown
37,Subway 37 - Teresaburgh Line,subway,Downtown
38,Subway 38 - Port Colleenhaven Line,subway,
39,Bus 39 - East Nathaniel Line,bus,
40,Light Rail 40 - New Stephanie Line,Light Rail,North
