vehicle_id,vehicle_type,capacity,year_acquired
1,Subway Car,120,2021
2,Bus,80,2001
3,Subway Car,99999,2004
4,Bus,200,2021
5,Subway Car,120,2024
6,Bus,-5,2005
7,Light Rail Car,40,2007
8,Subway Car,80,2015
9,Light Rail Car,40,1999
10,Light Rail Car,80,2007
11,Bus,99999,2025
12,Light Rail Car,40,2025
13,Subway Car,99999,2007
14,Bus,-5,2012
15,Subway Car,200,1999
16,Subway Car,60,2001
17,Light Rail Car,60,2013
18,Bus,40,2018
19,Bus,200,2002
20,Light Rail Car,60,2005
21,Light Rail Car,,2022
22,Light Rail Car,120,2017
23,Subway Car,99999,2010
24,Subway Car,,2007
25,Light Rail Car,40,2016
26,Bus,60,2021
27,Subway Car,120,2018
28,Bus,60,2019
29,Light Rail Car,80,2005
30,Bus,80,2000
31,Light Rail Car,99999,2011
32,Subway Car,99999,2017
33,Subway Car,120,1999
34,Light Rail Car,200,2020
35,Bus,99999,2025
36,Subway Car,120,2019
37,Subway Car,120,2023
38,Light Rail Car,120,2001
39,Bus,200,2002
40,Bus,40,2000
41,Light Rail Car,200,2023
42,Subway Car,200,2021
43,Light Rail Car,99999,2001
44,Subway Car,,2007
45,Subway Car,99999,2014
46,Subway Car,40,2000
47,Light Rail Car,-5,2021
48,Bus,40,2006
49,Light Rail Car,40,2005
50,Light Rail Car,200,2024
51,Subway Car,80,1999
52,Subway Car,99999,2014
53,Light Rail Car,,2003
54,Bus,99999,2024
55,Subway Car,-5,2013
56,Light Rail Car,-5,2008
57,Subway Car,80,2001
58,Subway Car,99999,2011
59,Light Rail Car,,2019
60,Bus,99999,1999
61,Subway Car,200,2008
62,Light Rail Car,,2001
63,Light Rail Car,40,2024
64,Subway Car,99999,2025
65,Light Rail Car,120,1999
66,Light Rail Car,99999,2009
67,Bus,40,2012
68,Subway Car,80,2006
69,Bus,99999,2012
70,Light Rail Car,120,1998
71,Light Rail Car,200,2003
72,Bus,,1998
73,Subway Car,60,2005
74,Subway Car,80,2001
75,Light Rail Car,200,
76,Subway Car,200,2020
77,Subway Car,99999,2024
78,Light Rail Car,99999,2005
79,Bus,,2002
80,Bus,80,
81,Subway Car,,2006
82,Bus,200,
83,Light Rail Car,200,2007
84,Bus,99999,2016
85,Subway Car,99999,2012
86,Subway Car,,2008
87,Bus,-5,
88,Light Rail Car,120,2020
89,Subway Car,120,2010
90,Light Rail Car,-5,1999
