ridership_id,trip_id,station_id,boardings,alightings,passenger_load_after_stop,vehicle_capacity,is_overcrowded
RD00001,T0001,S043,24,0,27,45,No
RD00002,T0001,S044,21,9,39,45,No
RD00003,T0001,S045,5,9,35,45,No
RD00004,T0001,S046,2,3,34,45,No
RD00005,T0001,S047,9,8,35,45,No
RD00006,T0001,S048,1,35,1,45,No
RD00007,T0002,S025,10,0,21,45,No
RD00008,T0002,S026,10,4,27,45,No
RD00009,T0002,S027,9,4,32,45,No
RD00010,T0002,S028,3,1,34,45,No
RD00011,T0002,S029,1,6,29,45,No
RD00012,T0002,S030,2,29,2,45,No
RD00013,T0003,S037,21,0,25,70,No
RD00014,T0003,S038,5,13,17,70,No
RD00015,T0003,S039,5,3,19,70,No
RD00016,T0003,S040,11,11,19,70,No
RD00017,T0003,S041,8,13,14,70,No
RD00018,T0003,S042,3,14,3,70,No
RD00019,T0004,S001,5,0,8,25,No
RD00020,T0004,S002,11,2,17,25,No
RD00021,T0004,S003,2,3,16,25,No
RD00022,T0004,S004,7,0,23,25,No
RD00023,T0004,S005,6,2,27,25,Yes
RD00024,T0004,S006,3,27,3,25,No
RD00025,T0005,S037,23,0,23,70,No
RD00026,T0005,S038,3,12,14,70,No
RD00027,T0005,S039,15,11,18,70,No
RD00028,T0005,S040,12,10,20,70,No
RD00029,T0005,S041,3,13,10,70,No
RD00030,T0005,S042,4,10,4,70,No
RD00031,T0006,S001,6,0,9,25,No
RD00032,T0006,S002,8,1,16,25,No
RD00033,T0006,S003,6,2,20,25,No
RD00034,T0006,S004,10,1,29,25,Yes
RD00035,T0006,S005,11,2,38,25,Yes
RD00036,T0006,S006,0,38,0,25,No
RD00037,T0007,S025,10,0,21,25,No
RD00038,T0007,S026,8,3,35,25,Yes
RD00039,T0007,S027,3,1,37,25,Yes
RD00040,T0007,S028,3,2,38,25,Yes
RD00041,T0007,S029,2,2,38,25,Yes
RD00042,T0007,S030,2,38,2,25,No
RD00043,T0008,S025,13,0,18,25,No
