trip_id,route_id,vehicle_id,scheduled_time,actual_time,delay_minutes,time_of_day
T0001,R008,V013,2026-06-29 18:30:00,2026-06-29 18:37:00,7,Evening Peak
T0002,R005,V025,2026-06-19 13:40:00,2026-06-19 13:50:00,10,Midday
T0003,R007,V012,2026-06-08 22:10:00,2026-06-08 22:13:00,3,Night
T0004,R001,V030,2026-06-04 08:10:00,2026-06-04 08:14:00,4,Morning Peak
T0005,R007,V021,2026-06-03 11:40:00,2026-06-03 11:47:00,7,Midday
T0006,R001,V023,2026-06-24 07:40:00,2026-06-24 07:47:00,7,Morning Peak
T0007,R005,V026,2026-06-21 09:20:00,2026-06-21 09:24:00,4,Morning Peak
T0008,R005,V017,2026-06-25 08:00:00,2026-06-25 08:10:00,10,Morning Peak
T0009,R005,V028,2026-06-21 15:10:00,2026-06-21 15:22:00,12,Midday
T0010,R001,V021,2026-06-11 15:00:00,2026-06-11 15:10:00,10,Midday
T0011,R006,V028,2026-06-26 09:00:00,2026-06-26 09:05:00,5,Morning Peak
T0012,R002,V003,2026-06-24 15:00:00,2026-06-24 15:15:00,15,Midday
T0013,R003,V005,2026-06-22 13:40:00,2026-06-22 13:56:00,16,Midday
T0014,R007,V007,2026-06-30 15:50:00,2026-06-30 15:58:00,8,Midday
T0015,R004,V024,2026-06-10 11:50:00,2026-06-10 11:50:00,0,Midday
T0016,R008,V004,2026-06-08 08:20:00,2026-06-08 08:26:00,6,Morning Peak
T0017,R001,V020,2026-06-18 08:10:00,2026-06-18 08:23:00,13,Morning Peak
T0018,R001,V008,2026-06-03 18:20:00,2026-06-03 18:24:00,4,Evening Peak
T0019,R002,V017,2026-06-08 09:30:00,2026-06-08 09:37:00,7,Morning Peak
T0020,R008,V008,2026-06-26 13:30:00,2026-06-26 13:38:00,8,Midday
T0021,R004,V004,2026-06-04 17:20:00,2026-06-04 17:23:00,3,Evening Peak
T0022,R001,V023,2026-06-21 22:00:00,2026-06-21 22:10:00,10,Night
T0023,R001,V013,2026-06-24 09:00:00,2026-06-24 09:04:00,4,Morning Peak
T0024,R008,V005,2026-06-14 08:30:00,2026-06-14 08:43:00,13,Morning Peak
T0025,R004,V030,2026-06-30 07:40:00,2026-06-30 07:48:00,8,Morning Peak
T0026,R001,V003,2026-06-30 17:10:00,2026-06-30 17:21:00,11,Evening Peak
T0027,R003,V014,2026-06-16 15:30:00,2026-06-16 15:42:00,12,Midday
