vehicle_id,vehicle_type,capacity,manufacture_year,status
V001,Mini Bus,25,2011,Active
V002,Articulated Bus,70,2015,Active
V003,Mini Bus,25,2011,Active
V004,Mini Bus,25,2010,Active
V005,Standard Bus,45,2008,Active
V006,Standard Bus,45,2024,Active
V007,Mini Bus,25,2014,Active
V008,Mini Bus,25,2025,Active
V009,Articulated Bus,70,2016,Active
V010,Standard Bus,45,2013,Active
V011,Articulated Bus,70,2016,Active
V012,Articulated Bus,70,2011,Active
V013,Standard Bus,45,2019,Active
V014,Mini Bus,25,2016,Active
V015,Mini Bus,25,2022,Active
V016,Articulated Bus,70,2010,Active
V017,Mini Bus,25,2019,Active
V018,Mini Bus,25,2010,Active
V019,Standard Bus,45,2017,Maintenance
V020,Standard Bus,45,2011,Active
V021,Articulated Bus,70,2019,Active
V022,Articulated Bus,70,2014,Active
V023,Mini Bus,25,2010,Active
V024,Standard Bus,45,2025,Active
V025,Standard Bus,45,2022,Active
V026,Mini Bus,25,2025,Active
V027,Articulated Bus,70,2009,Active
V028,Standard Bus,45,2018,Active
V029,Standard Bus,45,2014,Maintenance
V030,Mini Bus,25,2018,Active
